Date, Run,  Minimum,  Maximum,  Mean
29.06.2019 11:54:13, 1, 0.0, 4144.450223368312, 804.2753190698411
29.06.2019 11:56:58, 2, -23.69945220009516, 3485.51313542454, 102.13831004530165
29.06.2019 11:59:30, 3, -679.8378452746389, 3432.669672984027, 104.39324299396729
29.06.2019 12:01:57, 4, -1013.8712172949878, 3470.0404362520662, 109.39823417621642
29.06.2019 12:04:24, 5, -1165.432450876762, 3029.5427793647627, 85.54684968084551
29.06.2019 12:06:55, 6, -1449.2772970914427, 3018.655902792156, 16.258535475704058
29.06.2019 12:09:35, 7, -1545.567213264496, 3002.5738157876076, -36.114146503862756
29.06.2019 12:12:11, 8, -1608.483032123893, 3129.210825599028, -67.38437904518106
29.06.2019 12:14:46, 9, -1673.2765974268461, 3125.4442256182397, -90.84040379826557
29.06.2019 12:17:26, 10, -1705.569798791171, 3154.1293543227002, -98.37720311481405
29.06.2019 12:20:01, 11, -1705.9723219057162, 3022.6377366265265, -108.02493846000183
29.06.2019 12:22:38, 12, -1734.3916067426, 2984.535310438508, -113.07349290653542
29.06.2019 12:25:14, 13, -1836.3462960061981, 2966.7053041686795, -117.53747564240491
29.06.2019 12:27:49, 14, -1836.3462960061981, 2920.0376937433266, -116.41984672496383
29.06.2019 12:30:22, 15, -1836.3462960061981, 2916.7936133613816, -115.59472027006927
29.06.2019 12:32:54, 16, -1836.3462960061981, 3147.3481749106813, -116.05264622740685
29.06.2019 12:35:38, 17, -1836.3462960061981, 3052.498898040346, -115.14314135921909
29.06.2019 12:38:14, 18, -1895.2679108915247, 3473.698442357266, -113.88712726823624
29.06.2019 12:40:49, 19, -1939.9731551538473, 3434.3145427490263, -113.96158178164443
29.06.2019 12:43:25, 20, -1939.9731551538473, 3029.254811565967, -114.42894930105697
29.06.2019 12:46:01, 21, -1939.9731551538473, 2772.2308797316878, -115.16427588103096
29.06.2019 12:48:41, 22, -1939.9731551538473, 2950.5330122114137, -116.86029484677896
29.06.2019 12:51:19, 23, -1939.9731551538473, 3157.41256511995, -116.26876623458139
29.06.2019 12:53:54, 24, -1939.9731551538473, 3244.79632135852, -115.54259381596557
29.06.2019 12:56:28, 25, -1939.9731551538473, 2486.169999281945, -115.57263356868555
29.06.2019 12:59:00, 26, -1939.9731551538473, 2957.183499325559, -115.28036640888321
29.06.2019 13:01:44, 27, -1939.9731551538473, 2915.0657919793052, -115.42488677716842
29.06.2019 13:04:22, 28, -1939.9731551538473, 2486.169999281945, -115.35872485826444
29.06.2019 13:06:57, 29, -1939.9731551538473, 2701.803869012868, -115.4394175042487
29.06.2019 13:09:34, 30, -1939.9731551538473, 2938.6805883558627, -115.3489087370467
29.06.2019 13:12:11, 31, -1939.9731551538473, 2928.2156458573786, -115.44802435118036
29.06.2019 13:14:50, 32, -1939.9731551538473, 3248.4969530913218, -115.4674563371524
29.06.2019 13:17:26, 33, -1939.9731551538473, 2486.169999281945, -115.34933454467684
29.06.2019 13:20:00, 34, -1939.9731551538473, 3011.2268870176176, -115.39111150588482
29.06.2019 13:22:34, 35, -1939.9731551538473, 3120.2409250772334, -115.2992798053296
29.06.2019 13:25:08, 36, -1939.9731551538473, 3170.4570492615694, -115.41340300136189
29.06.2019 13:27:51, 37, -1939.9731551538473, 2499.5672004138873, -115.47780892661441
29.06.2019 13:30:27, 38, -1939.9731551538473, 2486.169999281945, -115.38058522782036
29.06.2019 13:33:02, 39, -1939.9731551538473, 2670.7232686427087, -115.38987268193738
29.06.2019 13:35:38, 40, -1939.9731551538473, 2532.836512102199, -115.5142957175784
